epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1542.41,1.56607,6.36275,1.30942,0.37007,0.41189,0.3041,0.13289,0.92849,54.7007,0.94846,0.000661692,0.000661692,0.000661692
2,2798.98,1.81073,4.4658,1.55716,0.24126,0.33333,0.17659,0.0724,1.08915,23.9584,1.0851,0.00130206,0.00130206,0.00130206
3,4263.95,1.87022,3.45637,1.70465,0.23762,0.15924,0.12122,0.05191,1.05375,78.207,1.02771,0.00191602,0.00191602,0.00191602
4,5548.51,1.87747,2.8536,1.67533,0.29105,0.3758,0.24245,0.10956,0.97792,14.4134,0.98864,0.0018812,0.0018812,0.0018812
5,6780.87,1.8595,2.41501,1.63257,0.37931,0.50318,0.34952,0.16322,0.99897,5.43776,0.93627,0.0018416,0.0018416,0.0018416
6,8047.64,1.89862,2.33236,1.64652,0.279,0.5138,0.29012,0.12404,0.97148,9.88217,0.91192,0.001802,0.001802,0.001802
7,9283.87,1.78962,2.12509,1.60268,0.41172,0.5498,0.3977,0.20489,0.92324,2.05743,0.88666,0.0017624,0.0017624,0.0017624
8,10511.1,1.7195,2.04185,1.48917,0.40937,0.52229,0.3774,0.19525,0.93258,8.90016,0.88729,0.0017228,0.0017228,0.0017228
9,11775,1.72362,2.13575,1.55019,0.45515,0.50318,0.44379,0.23465,0.89544,1.80182,0.86366,0.0016832,0.0016832,0.0016832
10,13018.3,1.73702,2.07363,1.55752,0.50817,0.63694,0.4738,0.25119,0.88725,2.90447,0.89741,0.0016436,0.0016436,0.0016436
11,14246.3,1.63545,1.91157,1.47139,0.43306,0.61359,0.42499,0.22305,0.89411,4.16322,0.83243,0.001604,0.001604,0.001604
12,15496.7,1.57254,1.84725,1.44868,0.24044,0.59873,0.26753,0.13484,0.89913,13.7626,0.8321,0.0015644,0.0015644,0.0015644
13,16728.9,1.55309,1.83918,1.4619,0.44129,0.65605,0.46619,0.23844,0.84819,7.22925,0.82763,0.0015248,0.0015248,0.0015248
14,17948.6,1.62058,1.87383,1.48189,0.52796,0.67679,0.52727,0.29402,0.81455,3.43989,0.80379,0.0014852,0.0014852,0.0014852
15,19210.5,1.5365,1.70788,1.40747,0.49638,0.69851,0.50384,0.27934,0.80951,1.8278,0.79232,0.0014456,0.0014456,0.0014456
16,20477,1.59513,1.65077,1.42085,0.49864,0.64406,0.4878,0.26158,0.88082,4.4785,0.82846,0.001406,0.001406,0.001406
17,21712.2,1.49766,1.62638,1.37891,0.49999,0.6815,0.52798,0.28695,0.83327,2.07989,0.81125,0.0013664,0.0013664,0.0013664
18,22957.8,1.55196,1.64078,1.41946,0.5277,0.72187,0.55576,0.29771,0.80975,1.8355,0.78688,0.0013268,0.0013268,0.0013268
19,24181.1,1.47582,1.72268,1.37671,0.54498,0.6993,0.53087,0.30128,0.81971,1.56682,0.7854,0.0012872,0.0012872,0.0012872
20,25408.1,1.5405,1.64947,1.41493,0.56257,0.75584,0.57702,0.34107,0.73422,2.52579,0.76782,0.0012476,0.0012476,0.0012476
21,26653.4,1.51117,1.49259,1.38755,0.54301,0.70276,0.53873,0.3057,0.76771,1.68033,0.77501,0.001208,0.001208,0.001208
22,64246.9,1.453,1.55181,1.34813,0.53576,0.80255,0.56194,0.31497,0.77393,2.12618,0.76187,0.0011684,0.0011684,0.0011684
23,65676.8,1.41114,1.48249,1.34078,0.59149,0.80234,0.59558,0.34404,0.74032,1.30033,0.73702,0.0011288,0.0011288,0.0011288
24,66911.2,1.44379,1.4887,1.36231,0.56003,0.7431,0.5767,0.34787,0.72595,1.09474,0.73908,0.0010892,0.0010892,0.0010892
25,68159.3,1.41185,1.45626,1.35996,0.55901,0.81815,0.58769,0.3595,0.73547,1.96109,0.74653,0.0010496,0.0010496,0.0010496
26,69407,1.42982,1.53728,1.30648,0.53438,0.80255,0.58058,0.34096,0.73181,2.73494,0.74256,0.00101,0.00101,0.00101
27,70631.2,1.42647,1.49545,1.34814,0.54559,0.79278,0.58502,0.33655,0.72703,1.20897,0.7434,0.0009704,0.0009704,0.0009704
28,71887.1,1.37801,1.43846,1.32157,0.56714,0.84501,0.60493,0.36902,0.73991,1.35159,0.73725,0.0009308,0.0009308,0.0009308
29,73142,1.40215,1.38159,1.32202,0.58105,0.78556,0.59564,0.36018,0.74345,1.01849,0.74605,0.0008912,0.0008912,0.0008912
30,74425.6,1.39605,1.37192,1.30888,0.57549,0.8259,0.61069,0.35119,0.7099,1.70376,0.73317,0.0008516,0.0008516,0.0008516
31,75754.3,1.33934,1.37061,1.27417,0.59914,0.81953,0.6159,0.37096,0.73009,1.26738,0.74728,0.000812,0.000812,0.000812
32,77066.9,1.41056,1.39055,1.34942,0.54819,0.85268,0.59633,0.36276,0.6893,1.75511,0.71301,0.0007724,0.0007724,0.0007724
33,78311.6,1.3472,1.3076,1.30789,0.58406,0.85775,0.60774,0.36655,0.70496,1.01636,0.72185,0.0007328,0.0007328,0.0007328
34,79564.4,1.32237,1.29488,1.30383,0.57362,0.7512,0.59375,0.3422,0.74064,1.04072,0.73162,0.0006932,0.0006932,0.0006932
35,80832.8,1.32923,1.34908,1.28969,0.5811,0.82378,0.62017,0.37823,0.67506,1.24852,0.70562,0.0006536,0.0006536,0.0006536
36,82071.5,1.29076,1.32786,1.24766,0.57515,0.89809,0.61173,0.39127,0.66755,1.42096,0.70328,0.000614,0.000614,0.000614
37,83334.6,1.29462,1.25529,1.254,0.59482,0.86837,0.62248,0.39226,0.6831,0.99224,0.7097,0.0005744,0.0005744,0.0005744
38,84607.7,1.33062,1.27365,1.27845,0.59667,0.89384,0.6267,0.3999,0.66336,1.08259,0.69953,0.0005348,0.0005348,0.0005348
39,85840.1,1.29452,1.41417,1.26452,0.5941,0.88257,0.62949,0.40429,0.66093,1.0296,0.69604,0.0004952,0.0004952,0.0004952
40,87103.5,1.28786,1.29762,1.26172,0.6031,0.90446,0.63238,0.41369,0.64077,0.90215,0.68321,0.0004556,0.0004556,0.0004556
